C= 47 , q= 59 k even, success= true
C= 47 , q= 61 k even, success= true
C= 51 , q= 5 k odd, success= true
C= 51 , q= 13 k odd, success= true
C= 51 , q= 29 k odd, success= true
C= 51 , q= 37 k odd, success= true
C= 51 , q= 53 k odd, success= false
C= 51 , q= 61 k odd, success= true
C= 53 , q= 3 k odd, success= true
C= 53 , q= 11 k odd, success= true
C= 53 , q= 19 k odd, success= true
C= 53 , q= 43 k odd, success= true
C= 53 , q= 59 k odd, success= true
C= 55 , q= 3 k even, success= true
C= 55 , q= 7 k even, success= true
C= 55 , q= 13 k even, success= false
C= 55 , q= 17 k odd, success= false
C= 55 , q= 17 k even, success= false
C= 55 , q= 19 k even, success= true
C= 55 , q= 23 k even, success= false
C= 55 , q= 29 k even, success= true
C= 55 , q= 31 k even, success= true
C= 55 , q= 37 k even, success= true
C= 55 , q= 41 k odd, success= true
C= 55 , q= 41 k even, success= true
C= 55 , q= 43 k even, success= true
C= 55 , q= 47 k even, success= true
C= 55 , q= 53 k even, success= true
C= 55 , q= 59 k even, success= true
C= 55 , q= 61 k even, success= true
C= 57 , q= 7 k odd, success= true
C= 57 , q= 23 k odd, success= true
C= 57 , q= 31 k odd, success= true
C= 57 , q= 47 k odd, success= true
C= 59 , q= 5 k odd, success= true
C= 59 , q= 13 k odd, success= true
C= 59 , q= 29 k odd, success= true
C= 59 , q= 37 k odd, success= true
C= 59 , q= 53 k odd, success= true
C= 59 , q= 61 k odd, success= true
C= 61 , q= 3 k odd, success= true
C= 61 , q= 11 k odd, success= true
C= 61 , q= 19 k odd, success= true
C= 61 , q= 43 k odd, success= true
C= 61 , q= 59 k odd, success= true
C= 65 , q= 7 k odd, success= true
C= 65 , q= 23 k odd, success= true
C= 65 , q= 31 k odd, success= true
C= 65 , q= 47 k odd, success= true
